"inst_416" "inst_1009" "inst_1170" "inst_1229" "inst_1289" "inst_1654" "inst_2644" "inst_2689" "inst_4453" "inst_4670" "inst_5226" "inst_5265" "inst_5589" "inst_5630" "inst_6188" "inst_6947" "inst_6988"
"200678_x_at" 18158 5925 7096 2937 8977 18073 18711 10350 16775 3920 6423 10916 11471 18427 14309 5726 18105
"200679_x_at" 1588 5401 18816 17788 10041 17147 4711 12356 12296 19168 10367 9977 12096 10680 5949 20130 18982
"200680_x_at" 15633 19729 20031 16831 6422 2395 14146 11562 5855 7051 19979 19380 15211 5844 8252 6963 17869
"200681_at" 3618 4565 9293 17278 7196 4409 5908 10266 3771 16833 9242 10567 11099 15358 13070 5739 4169
"200682_s_at" 4846 16510 20458 6833 5426 2563 13952 11169 14671 5771 8225 11613 10289 16966 12870 8491 17025
"200683_s_at" 20470 16186 18914 5381 6191 14204 13226 18151 14353 17320 9846 7379 7572 15154 6396 10531 6952
"200684_s_at" 2342 21764 8304 4596 3257 17208 16668 8793 18438 18864 9232 21182 5972 18497 2850 1762 17145
"200685_at" 9906 21838 19110 18653 3754 2252 2980 5146 20028 8814 1886 4600 2654 16367 17475 10473 22279
"200686_s_at" 4816 19033 8256 16611 2901 3030 20411 6012 20229 9012 5466 20285 1140 20194 19436 8516 2866
"200687_s_at" 19025 17592 18766 17122 4386 18515 13404 20010 16456 3464 7240 6910 12707 16252 16826 10132 19083
"200688_at" 13903 3905 21874 15188 3050 19268 17225 5638 20748 9632 6915 8644 21025 21771 15858 944 21980
"200689_x_at" 2391 15441 7642 14495 9932 2076 17401 14425 10287 16032 18884 18493 10025 3910 8243 8801 5382
"200690_at" 5611 19485 6678 5033 21315 21804 15982 5736 12691 20174 11198 7654 8167 21356 18961 20914 7323
"200691_s_at" 6412 15943 6776 17091 4418 19031 16689 18704 15572 17264 10553 12144 10069 11905 13950 8169 19412
"200692_s_at" 5126 4323 7131 15159 8300 18151 4097 19884 17904 15780 6755 18512 11005 11632 13795 9529 17568
"200693_at" 3983 17487 1966 15389 5809 15651 14200 7849 11723 7690 6959 10513 7586 11093 12838 4726 16902
"200694_s_at" 3069 17923 7517 16079 4028 17422 17747 9237 14082 8059 7731 4236 9700 18554 15482 5701 7310
"200695_at" 5874 20990 3900 2562 21070 1388 2194 20164 10639 1056 7963 20226 5301 11428 16020 1915 5358
"200696_s_at" 18240 4014 7491 2568 1369 1712 20662 18350 18517 5022 9720 7841 3265 10382 3231 9247 1181
"200697_at" 5136 20947 6687 4761 2168 17168 20600 9359 19272 6362 19516 6615 8406 10790 19044 8594 3328
"200698_at" 14002 17092 3587 19122 1631 2794 17054 2962 11257 16908 8458 6062 4632 12063 5685 7591 19161
"200699_at" 3550 2584 20251 5492 785 18571 13914 3143 4016 17862 5120 1806 6694 11835 1427 3676 4928
