"inst_421" "inst_910" "inst_1004" "inst_1165" "inst_1224" "inst_1649" "inst_2389" "inst_2684" "inst_4448" "inst_5221" "inst_5442" "inst_5584" "inst_6183" "inst_6341" "inst_6984" "inst_7420"
"200673_at" 1807 15042 4451 1533 13276 2814 13159 2525 6056 3429 5646 3442 10622 4470 2358 2667
"200674_s_at" 17890 15905 8206 18188 3094 3990 4445 12752 15836 15717 4936 19746 5854 3573 15853 15530
"200675_at" 4633 17793 19290 20203 19261 21070 18407 10351 15188 4732 14366 6477 18783 15126 18967 15218
"200676_s_at" 19072 15952 22263 3949 16553 3786 19374 20844 21266 21782 18470 8678 1676 22218 4415 21776
"200677_at" 6362 18662 13570 17863 3268 3702 4029 7047 6804 6164 13145 7216 13831 13967 3584 3580
"200678_x_at" 6845 1963 3360 5150 5345 2066 16153 17765 4834 2178 2547 3491 11421 3831 4187 1162
"200679_x_at" 4517 13981 4642 18792 16627 4244 20068 19414 14690 6104 14573 12470 15816 15334 16314 17067
"200680_x_at" 19539 17358 14274 7219 16400 13679 16794 10092 15377 15690 12256 14678 10827 4455 17306 17081
"200681_at" 6168 15179 4461 17938 14436 14694 14824 17741 8091 17215 14846 11794 15558 15407 4467 15599
"200682_s_at" 3448 16323 17855 19271 15339 14099 19308 10398 15572 16596 18315 10036 17188 14781 16415 17749
"200683_s_at" 20981 20655 19099 20100 17878 16907 19759 19827 21143 20168 16249 19663 16724 19909 19902 19216
"200684_s_at" 2326 21537 17778 18948 19181 20393 16422 18984 20836 21110 17206 6856 19743 13244 20606 20420
"200685_at" 9896 16710 21408 7531 16301 21129 17662 6516 16665 19704 18730 6336 16906 12374 3674 20953
"200686_s_at" 835 21612 20594 5720 19380 13925 20852 4476 5616 4971 20569 1092 20839 15083 3017 16894
"200687_s_at" 5190 18196 20744 19837 15586 19315 15640 20208 16338 16691 14679 18781 19562 16758 19371 16428
"200688_at" 16845 4437 1801 21803 18237 17359 17683 21468 18402 14481 13598 19173 12918 21829 4958 19642
"200689_x_at" 18107 4183 3064 6964 4731 1976 4237 12787 14594 14255 5049 10858 5895 15548 4224 4290
"200690_at" 6499 16876 14480 2862 16383 21362 20277 16649 18125 15917 18984 20845 19107 12457 20658 16249
"200691_s_at" 3637 15993 15309 6210 18525 14729 21272 18659 15285 18110 15276 10578 18325 18389 17174 19362
"200692_s_at" 16745 4338 18826 20054 14024 18297 21267 8029 18218 5314 19223 10624 21290 17936 16080 19865
"200693_at" 1508 17076 16300 5264 13579 15554 16341 9997 8829 14838 16516 6563 15668 16234 4719 15573
"200694_s_at" 21456 21594 17167 18478 20034 19442 18766 19731 16648 6540 17337 8293 18606 18819 18767 17936
"200695_at" 7516 2797 19376 18777 19112 17940 18073 20101 20808 18230 19017 3742 17201 13858 2788 2905
"200696_s_at" 17514 18324 3846 6694 2237 1502 5606 18300 3932 1551 3808 11221 3514 2483 5242 3829
"200697_at" 3612 17433 13787 4502 3323 18788 18585 6310 17781 21103 15845 19685 14372 17205 18112 6151
"200698_at" 19043 14452 14412 1881 16633 15367 5104 1118 8793 7138 3638 3721 2227 14406 17854 19304
"200699_at" 6070 17664 4937 21578 3752 19872 13082 612 6984 16119 5562 5012 1380 19139 18869 5361
"200700_s_at" 5742 3560 14721 6540 5120 3832 4144 2114 7921 6438 4508 4612 11983 3419 3903 5979
"200701_at" 4489 1004 2740 3845 4905 1311 1173 5104 4132 2713 4352 5795 2253 3822 3611 831
"200702_s_at" 4396 19706 19897 17899 18570 17091 18288 18924 16707 17690 15183 10747 19460 14678 19908 16321
"200703_at" 20237 19394 19586 20973 16976 16948 20527 4411 14713 14813 19023 9989 19150 13173 17272 17964
"200704_at" 3050 2463 3296 1921 14107 15258 14573 7284 3631 1587 2661 2485 12673 16158 1085 1908
"200705_s_at" 3923 4769 4170 17918 4480 14854 4857 12636 8262 6903 5785 18996 5713 13217 4162 4512
"200706_s_at" 4104 1896 15948 4864 17835 1186 13910 8292 2771 2140 3987 1048 15309 14221 2649 3112
"200707_at" 5434 18779 13749 5226 3210 18091 14242 6085 3488 3416 3208 20977 19332 12821 15536 1533
"200708_at" 247 16925 4226 18640 13752 16581 20489 21288 18003 17092 17229 11361 21750 19094 17366 4878
"200709_at" 7712 13905 17930 20034 17617 15057 16990 18711 4512 16023 4989 7311 20480 14375 2256 3385
"200710_at" 4277 3511 3827 5864 5071 19010 17389 20027 9031 3212 2481 4395 19700 19509 18932 3505
"200711_s_at" 8600 16121 18474 7969 17932 17756 21308 17978 15847 16633 18395 10206 17571 18497 16511 16129
"200712_s_at" 3926 16668 18877 2668 18629 14511 12979 6832 7668 20611 20308 4340 19040 15283 14570 19936
