"inst_338" "inst_1528" "inst_1945" "inst_2028" "inst_4667" "inst_5262" "inst_5627"
"200909_s_at" 9058 5093 20187 3301 15327 7861 5150
"200910_at" 1845 15064 5648 1460 4809 7782 5225
"200911_s_at" 16626 4229 6188 22083 6554 4342 12132
"200912_s_at" 15703 16476 7477 17729 7372 14908 12633
"200913_at" 495 18606 19706 804 5167 18053 13757
"200914_x_at" 20526 21043 1273 21819 16850 15319 17502
"200915_x_at" 9666 16808 6017 21725 8607 16035 4910
"200916_at" 15098 5451 4122 18313 7699 6481 13253
"200917_s_at" 15210 3145 21490 4307 1341 21241 17347
"200918_s_at" 15328 13412 19720 4493 9367 16047 4658
"200919_at" 14617 17124 3629 18531 6583 21278 12066
"200920_s_at" 1703 3325 4711 1550 7341 5310 3147
"200921_s_at" 1451 4172 2528 16462 3169 1466 3167
"200922_at" 1337 18869 5153 2072 6413 6679 14283
"200923_at" 16717 1161 7062 7193 4563 2515 17338
"200924_s_at" 2868 13376 6556 1393 8394 6796 14095
"200925_at" 1781 3543 2651 16542 15343 6704 4982
"200926_at" 8531 8343 6407 2782 11245 10478 7560
"200927_s_at" 9104 17576 3973 21436 5714 5464 18481
"200928_s_at" 16018 13064 9927 9153 14510 18221 20380
"200929_at" 1487 14482 3003 16084 18366 7879 17459
"200930_s_at" 7944 7181 9249 8271 20373 12837 11099
"200931_s_at" 2329 4603 6683 17223 15363 8006 15013
"200932_s_at" 3322 14109 3718 20240 7814 18306 12887
"200933_x_at" 12419 5655 6578 15785 11208 10407 7513
"200934_at" 18649 20977 18327 5534 16578 15641 17527
"200935_at" 266 3058 4139 563 18562 18009 5217
"200936_at" 2495 8379 3432 17820 11218 10418 7521
"200937_s_at" 3130 14991 3552 17747 7085 5898 14323
"200938_s_at" 6844 2208 11653 6309 12395 8738 8180
"200939_s_at" 748 11456 16338 8612 16377 17662 2310
"200940_s_at" 1259 15441 18039 4606 20660 21182 2518
"200941_at" 13761 17187 4330 16538 9235 6505 11727
"200942_s_at" 998 14256 3015 2756 1984 6167 14088
"200943_at" 10181 19840 4498 16151 18177 16168 13330
"200944_s_at" 13571 5686 20458 19057 16160 7332 12566
