"inst_325" "inst_449" "inst_484" "inst_489" "inst_493" "inst_544" "inst_836" "inst_953" "inst_999" "inst_1057" "inst_1160" "inst_1219" "inst_1644" "inst_2679" "inst_4443" "inst_5216" "inst_5579" "inst_5947" "inst_5952" "inst_6178" "inst_6938" "inst_6979"
"200052_s_at" 15853 6036 8788 3703 6936 9426 15081 17092 16446 4996 17136 14295 19334 11288 17311 17611 17547 17693 9779 16949 18048 17882
"200053_at" 19141 19431 2095 2415 8616 661 13963 19277 14442 1539 19794 17818 15541 10430 21518 1526 9032 1039 8545 11818 20497 18392
"200054_at" 7354 3048 4493 5049 3165 9074 15039 16751 15854 1334 18263 14739 18602 4174 5947 14475 7552 14167 8406 19019 15273 3604
"200055_at" 2121 17193 7405 14529 16877 20317 15174 17560 13785 19492 18039 3257 17382 10604 15915 19790 10030 14050 7337 16107 16954 5424
"200056_s_at" 1847 971 15498 4861 17096 5731 12997 2642 13655 20262 17437 18445 14134 6190 6006 12684 3248 13792 6827 19353 14851 16424
"200057_s_at" 6935 6713 7385 14156 7834 5878 13380 2551 15761 19064 5374 18242 15930 9946 7298 14786 5653 13058 12068 12556 14065 14852
"200058_s_at" 6585 15972 7354 5444 5832 1777 2946 3338 15219 5534 17884 16576 14729 4390 4904 12633 8675 6323 7634 15700 17211 17595
"200059_s_at" 1687 3084 18084 1272 1620 18572 2288 4878 18627 3964 6074 15159 4708 9085 7022 17132 8290 18919 11862 12689 14121 15847
"200060_s_at" 6735 8645 18268 18625 16685 8476 15275 15811 17422 2966 5621 4955 19030 10164 14756 13071 7763 13420 7606 17278 14557 17505
"200061_s_at" 6794 16541 14449 14342 9565 9471 5496 3666 13675 18519 6528 8162 4249 16103 9846 7736 11978 9159 19531 4993 4501 3952
"200062_s_at" 7139 8796 6358 3285 18945 19961 5799 8577 8103 6157 6260 4651 14310 16038 9765 7550 11860 8964 14737 4893 3637 14681
"200063_s_at" 5719 8923 15024 4668 6075 9144 5608 4128 8120 4640 16064 17005 1909 16146 9886 7850 12042 9309 17951 5039 4345 14538
"200064_at" 986 1760 2641 812 1629 370 379 1076 686 540 96 236 436 1532 1763 321 1165 1922 3449 351 428 747
