"inst_1599" "inst_1957" "inst_2041" "inst_3214" "inst_5000" "inst_5419" "inst_6318" "inst_6654"
"200799_at" 16308 19190 11489 20089 13403 18669 15997 4138
"200800_s_at" 21883 15977 22149 21676 20721 20737 21404 14061
"200801_x_at" 6422 1286 4932 5909 5464 6790 8020 6978
"200802_at" 6966 1463 5662 14863 11634 2429 2156 16828
"200803_s_at" 5916 15591 8260 6326 10693 5476 7165 15554
"200804_at" 20575 4273 6942 13209 13189 7743 20471 16599
"200805_at" 6200 4279 7800 13075 13388 5833 3320 17256
"200806_s_at" 5674 15699 6767 15447 12543 5942 6072 13576
"200807_s_at" 6905 16656 3888 13837 10825 7815 16492 5415
"200808_s_at" 20672 19845 8223 16112 16520 2426 2935 14228
"200809_x_at" 19942 16234 19804 6207 1693 15817 15985 4992
"200810_s_at" 3131 18215 1728 3268 11213 1113 2150 3652
"200811_at" 4926 2251 1787 3049 14640 1265 982 13778
"200812_at" 19994 2525 7739 18390 14381 15328 4439 13546
"200813_s_at" 7160 122 21736 21794 20596 21407 20251 21111
"200814_at" 20457 18245 2029 14809 1660 14909 5032 4909
"200815_s_at" 1865 1727 7954 18007 19347 18604 20816 17190
"200816_s_at" 21581 19830 19629 21265 21327 21494 20291 12807
"200817_x_at" 5079 18148 19491 8477 5483 9750 10636 6988
"200818_at" 5222 4789 7429 5491 10760 14486 15879 11340
"200819_s_at" 7805 1763 19278 13097 10697 7371 7370 11720
"200820_at" 5121 770 6548 14508 11486 17512 4138 14778
"200821_at" 7370 22084 65 5441 19914 5796 17441 17678
"200822_x_at" 3423 3622 3666 4749 12239 4794 5930 15825
"200823_x_at" 7713 283 8114 6204 12035 5097 17029 13898
"200824_at" 20141 579 2754 18043 8488 6157 5942 16813
"200825_s_at" 6179 15778 3364 14899 15107 18473 115 11647
"200826_at" 19453 672 6304 5851 11091 5174 4484 15729
"200827_at" 1087 17670 1026 6315 15709 15342 3201 4701
"200828_s_at" 18828 5247 20002 20366 15897 19185 19838 20317
"200829_x_at" 6134 20914 7013 17124 18677 19414 18365 12154
"200830_at" 19941 3593 3661 5747 11718 6435 20079 5605
"200831_s_at" 4252 17202 2962 5153 14517 7673 3395 14013
"200832_s_at" 19787 21556 3438 5756 13653 15662 8242 4237
"200833_s_at" 6382 17287 7410 4339 18185 3183 3637 14867
"200834_s_at" 4397 21084 18760 8517 10832 7774 15711 7026
"200835_s_at" 2135 19480 1867 17430 10680 2777 20591 20145
"200836_s_at" 5496 2124 19227 688 22249 3210 17051 1945
"200837_at" 6145 1510 7148 19416 13937 17020 7393 11320
"200838_at" 21871 3742 1789 15950 12234 4900 7556 17701
"200839_s_at" 21676 3975 3533 6343 12582 5088 5092 4887
"200840_at" 4583 18855 4312 4753 12012 6010 6820 12188
"200841_s_at" 7031 18583 18813 15224 11207 4466 4529 16231
"200842_s_at" 18785 3880 6022 3667 11372 15085 2491 3785
"200843_s_at" 18498 3032 4342 6011 3283 4443 6563 3896
"200844_s_at" 4368 4348 5061 4846 10415 5349 4958 2850
"200845_s_at" 2948 19271 3339 6237 13211 6870 16204 4848
"200846_s_at" 6451 2076 7992 14943 13353 7337 7679 17205
"200847_s_at" 18372 21218 554 4583 12154 14549 3170 13234
"200848_at" 6341 20928 5608 3021 2703 6777 7252 16173
"200849_s_at" 4743 18447 2038 1808 12076 947 6276 12161
"200850_s_at" 5998 18048 4645 3723 2406 3340 2798 14529
"200851_s_at" 6049 3409 5509 20143 13961 18833 20053 17476
"200852_x_at" 7726 2701 2022 19229 17585 5694 1150 19039
"200853_at" 20163 18262 5470 17048 14877 5465 17180 15907
"200854_at" 7684 19045 19934 5553 21742 15072 19361 12507
"200855_at" 936 2632 7915 20725 20883 18548 17861 21287
"200856_x_at" 4238 21794 8031 17163 11431 15016 20792 11311
"200857_s_at" 4190 16442 21598 16956 18511 5091 18967 4807
"200858_s_at" 5187 21143 3002 3922 16287 4870 17183 12975
"200859_x_at" 21081 2162 169 2861 14768 2817 1502 11300
"200860_s_at" 21240 16219 20022 15739 17234 19297 5258 16414
"200861_at" 5807 3679 2572 17201 13640 18506 8315 20306
"200862_at" 5072 17012 5676 14162 16722 16814 7099 12362
"200863_s_at" 19542 4683 5821 14722 10561 14340 8159 12281
"200864_s_at" 6708 21557 18816 14093 20870 4432 20231 19677
"200865_at" 8042 9914 12223 8944 4378 3982 19033 1458
"200866_s_at" 3213 15743 5020 6210 16366 1818 16389 19384
"200867_at" 20550 2990 8298 19776 19056 19651 5168 11514
"200868_s_at" 19744 3892 20345 18531 18607 7715 5189 18138
"200869_at" 19538 3930 19180 8499 3079 14286 8231 4493
"200870_at" 19063 21315 2656 16075 13594 5715 17813 5377
"200871_s_at" 20477 3573 2115 4154 11424 2356 6083 11981
"200872_at" 7336 17728 5592 13927 2722 14576 16200 5401
"200873_s_at" 6170 20286 7698 14112 11352 7777 7969 12564
"200874_s_at" 20711 20498 21232 19875 18882 19231 20908 21438
