"inst_593" "inst_611" "inst_864" "inst_972" "inst_1008" "inst_1066" "inst_1169" "inst_1228" "inst_1653" "inst_2688" "inst_4452" "inst_5225" "inst_5588" "inst_6187" "inst_6946"
"200603_at" 258 2830 7586 4293 2478 16302 17640 2848 3917 1272 5766 2491 5174 1918 14431
"200604_s_at" 1399 16055 3937 5048 1291 3070 15061 3475 2719 6790 6720 3599 3901 1724 12233
"200605_s_at" 4589 2346 5152 1672 1867 1338 2808 4977 2739 2365 7516 2912 5679 2192 12930
"200606_at" 5518 17451 20606 16552 14668 18492 7078 1968 13873 16608 17878 6941 13022 3106 19625
"200607_s_at" 5712 3033 3395 17529 2355 4342 4372 19759 2310 16082 16615 4998 2842 6637 14452
"200608_s_at" 1004 1329 9444 17116 3204 17593 18179 3639 3458 5237 9252 4484 5263 7229 16491
"200609_s_at" 4478 13883 18699 15751 15494 18964 21495 15728 15508 15406 9225 14932 13874 11785 14021
"200610_s_at" 3960 16408 8494 4949 13197 17087 16495 7071 15108 17060 8770 15621 15879 18684 19710
"200611_s_at" 8536 15425 2741 3872 15798 4203 3354 4561 15686 8177 17458 15969 15903 7451 15375
"200612_s_at" 5681 14154 3054 1288 14228 21094 20071 19438 18098 8237 2375 2670 15856 12333 12667
"200613_at" 16625 18879 18664 5132 16253 16245 18544 18309 15159 9245 9771 15682 14462 9531 16638
"200614_at" 5167 3791 19530 5288 3530 15645 3231 6079 3176 3066 6102 3025 4580 3684 1818
"200615_s_at" 3497 16770 1146 1967 3502 1822 16567 5046 3727 7600 7947 6645 4791 4970 15108
"200616_s_at" 2800 2354 2757 17685 14216 4267 16929 16691 16129 5965 1339 7179 1962 4525 12375
"200617_at" 2502 5028 1756 395 2680 825 18955 15674 15521 5630 2400 2174 3381 5330 2814
"200618_at" 8933 13499 9286 4582 14619 19660 3168 18798 17839 3920 15343 6238 16597 4148 19200
"200619_at" 16660 4544 2723 2727 2589 1061 2042 16549 17231 6083 9409 3038 5288 7382 12873
"200620_at" 9406 14343 8696 16393 13813 17938 14989 7279 16786 6229 17642 17684 5114 6465 13880
"200621_at" 18472 18102 6239 3678 15447 15808 16208 2957 19972 18964 4522 7330 13878 11134 13502
"200622_x_at" 5818 3641 1948 3842 15622 3311 2807 2405 17272 5195 8616 15995 13610 4940 12394
"200623_s_at" 19590 5460 5963 16120 17321 17526 15098 4906 15500 17088 17871 16404 18634 6664 14253
"200624_s_at" 7156 15833 7671 15946 13086 15647 17093 6923 13669 8684 9325 6111 15042 6463 15952
"200625_s_at" 7681 13848 5128 5348 16250 18364 20660 4694 17717 7678 7814 16681 15731 8895 17569
"200626_s_at" 7647 13645 19962 3044 15480 21576 20580 5248 18003 5707 7009 6671 5571 6720 18360
"200627_at" 3370 2317 9271 4535 2230 3197 2392 5691 2811 2953 5500 5259 3513 8193 2450
"200628_s_at" 727 1068 245 267 702 218 1280 1197 717 8925 258 291 144 2988 97
"200629_at" 798 3102 852 350 557 549 1478 1692 2396 18309 387 1501 942 4447 2063
"200630_x_at" 16737 16823 19636 16993 14120 17533 14212 5646 2936 16419 6729 16533 13039 10990 15584
"200631_s_at" 17631 18671 8265 4208 18138 16132 19097 15350 15485 15693 8598 16452 17632 10645 17469
