"inst_3824" "inst_3827" "inst_3907" "inst_3910" "inst_4381" "inst_4384" "inst_4559" "inst_4562"
"200858_s_at" 6856 12315 6517 6470 12877 7849 6045 11422
"200859_x_at" 9420 10759 6476 10961 13471 7379 18709 2080
"200860_s_at" 12350 10323 19425 9241 8845 11004 14065 10111
"200861_at" 20548 5540 17276 12584 4620 9953 4671 10027
"200862_at" 8840 6256 17481 7551 6787 5149 17458 5392
"200863_s_at" 11392 12269 9277 10631 12968 13932 7696 12480
"200864_s_at" 19211 3917 15521 5473 2355 3636 2245 1689
"200865_at" 1333 16211 14120 18141 16738 17517 11811 378
"200866_s_at" 9298 9081 5320 3869 8124 8410 19543 5520
"200867_at" 9500 5923 8661 10880 8492 11114 18096 19956
"200868_s_at" 8914 8996 9385 12297 4884 7892 6069 11648
"200869_at" 14664 15965 11194 14514 16839 16304 16141 20053
"200870_at" 19349 19909 8938 6169 14747 20141 15051 11084
"200871_s_at" 11227 12784 6598 18386 12503 11843 17109 10437
"200872_at" 19232 14513 19971 11403 16799 16257 7430 19923
"200873_s_at" 11952 9607 17173 12176 14144 13832 7837 19123
"200874_s_at" 18193 7183 5797 8548 3317 9745 2719 1154
"200875_s_at" 5640 13262 3770 5183 13561 10286 18525 20854
"200876_s_at" 8967 11658 17887 11802 13320 12210 4509 4308
"200877_at" 11539 14289 8825 10724 20503 14327 4747 19739
"200878_at" 5040 12707 15490 7314 12596 12647 17782 19089
"200879_s_at" 1031 1728 16460 6935 10823 14972 21867 19893
"200880_at" 12674 11271 17937 12309 6646 8696 17392 9421
"200881_s_at" 10401 6624 9007 9991 8120 9791 7142 10418
"200882_s_at" 6044 14503 4757 6051 14782 12008 15071 19112
"200883_at" 9704 9208 16562 19079 3644 3295 3381 2120
"200884_at" 3155 19722 4192 8976 4432 4336 18921 7565
"200885_at" 5974 20561 9096 19198 7556 13920 16985 9036
"200886_s_at" 10915 19647 6597 8829 14552 13872 6218 19304
"200887_s_at" 19934 10367 5667 4097 1183 5399 4007 3197
"200888_s_at" 9684 14049 6670 10794 15138 13559 14806 20216
"200889_s_at" 10307 6348 19230 18831 7965 6259 3555 8193
"200890_s_at" 19235 1764 18840 12257 2090 3319 4522 11799
"200891_s_at" 20326 14552 5372 20985 12332 13651 4226 11798
"200892_s_at" 6101 9310 17102 18503 7812 7700 4891 5249
"200893_at" 12922 13979 4638 6044 12157 13763 4674 9980
"200894_s_at" 7930 5981 17814 11960 8173 4555 7404 4723
"200895_s_at" 2654 11988 4871 9561 7334 11745 21303 5114
"200896_x_at" 12212 13939 5852 9458 14878 20137 14545 12639
"200897_s_at" 18397 19804 7690 4987 14448 12833 17874 11473
"200898_s_at" 12856 1830 19392 20152 7780 9192 21855 20452
