"inst_369" "inst_430" "inst_1013" "inst_1071" "inst_1174" "inst_1233" "inst_1658" "inst_2693" "inst_4457" "inst_5230" "inst_5593" "inst_6192" "inst_6950" "inst_6992"
"200692_s_at" 15265 5267 12331 4867 20078 2870 15513 8116 12702 3566 16052 16447 5374 17923
"200693_at" 2896 9750 15560 8238 3230 6686 21413 4442 12798 5272 12125 16757 8927 17713
"200694_s_at" 18191 2692 15602 6160 6717 2620 14808 5829 4300 2500 16633 17518 7490 4951
"200695_at" 4200 10422 18653 4876 765 8340 3096 2874 19039 2527 15892 13795 7798 19384
"200696_s_at" 18445 20930 1835 6738 3423 8824 16122 3916 20577 4488 20842 16073 7940 4300
"200697_at" 1048 17315 18594 8830 3917 19797 15239 6275 16774 17181 12969 11255 19801 6523
"200698_at" 3310 2242 12642 5432 7197 17030 19063 17902 4189 7320 14941 13248 6623 3399
"200699_at" 17910 2718 21135 3144 5605 8194 14337 5582 4502 6346 16657 3912 3742 2840
"200700_s_at" 3622 10377 2463 5070 18323 17708 17921 5837 15130 7357 14725 10917 9584 6275
"200701_at" 17999 9188 14673 1283 2961 19914 2280 6033 17821 4202 17212 16152 8461 5311
"200702_s_at" 20251 10002 15400 3453 8106 6158 19024 4734 1971 8067 4719 15835 1481 16527
"200703_at" 17015 7113 14759 6634 19384 17579 17634 2297 15085 1854 4887 14799 8192 6452
"200704_at" 20279 3542 15263 4762 3252 17600 17264 10336 14499 5909 4472 17660 4728 2800
"200705_s_at" 5591 7617 12608 8072 19668 18143 14312 12421 13138 19636 5164 5891 8740 15926
"200706_s_at" 2025 21239 16433 2831 6843 19169 1394 5133 21601 1915 15953 13076 4299 3381
"200707_at" 3736 17859 12647 1134 6207 4381 18666 8729 18799 2643 4465 15582 20011 5676
"200708_at" 1066 7767 2318 3974 5573 5686 17917 17723 12588 7291 14889 11813 20019 5448
"200709_at" 18291 18919 2084 1359 18582 2210 2681 2698 12142 6784 17617 17453 21158 20420
"200710_at" 15786 9687 15953 1195 3090 3445 21323 6440 12531 17298 4528 17104 3364 17184
"200711_s_at" 15090 7016 15592 5675 5140 6383 15216 6299 15542 9257 15467 18805 9528 3247
"200712_s_at" 3380 8741 19966 5911 4346 3281 13735 2287 19458 6446 5952 17495 9322 5075
"200713_s_at" 5293 7747 15242 6036 3348 8134 3592 4696 4133 16893 13614 13343 8768 6408
"200714_x_at" 3832 19179 18474 8122 5991 2856 18781 17007 18055 17546 4486 18224 11083 16902
"200715_x_at" 19518 18514 1754 20640 5896 5624 3532 17123 13168 7827 2730 10796 9673 3631
"200716_x_at" 16530 10496 1825 20982 6888 8606 2789 12595 8126 18569 12844 6062 10464 5174
"200717_x_at" 3214 9834 5508 8579 19296 9009 15305 12483 8034 12060 8001 5968 20469 19339
"200718_s_at" 20199 17857 15948 20057 6519 18042 3727 4106 5644 5191 12946 13259 11050 15849
"200719_at" 14368 9187 14572 7972 3797 18340 17373 2572 5143 4062 13695 14889 10843 5908
"200720_s_at" 19200 19798 13179 5564 6383 18125 15060 7212 18371 6138 15039 13460 4269 15985
"200721_s_at" 17901 18067 15295 2156 19199 19630 16020 8775 17533 6421 18619 12322 3845 16316
"200722_s_at" 4125 6190 18339 20685 7541 3192 1113 10334 18825 17023 5612 17315 10134 19692
"200723_s_at" 4330 6807 17299 8251 3005 5118 4094 7325 12695 17953 13544 12294 5541 7038
"200724_at" 17398 682 6307 17590 9326 1263 159 18360 350 18930 1280 1937 1314 11367
"200725_x_at" 5350 17860 2125 21256 6574 8090 14240 17334 6280 18664 14959 10618 10716 16705
"200726_at" 13649 10416 12151 8108 6402 4758 14302 5590 5423 8201 16252 12795 9608 16963
"200727_s_at" 14777 2922 12141 6821 19497 6558 13638 17834 2368 17114 12166 12862 2911 19216
"200728_at" 15191 8455 1246 6782 18484 16873 15264 7004 3270 6214 5067 16547 4111 18732
"200729_s_at" 3043 6076 14427 5618 18558 5112 3734 7516 12713 3387 4596 17434 6598 6833
"200730_s_at" 1468 4538 12836 6788 3970 2738 13719 17635 12846 7336 5836 13998 4811 3865
"200731_s_at" 19201 4443 2396 8220 21516 1338 4406 19081 3776 7910 4310 20943 9256 6114
"200732_s_at" 4320 3600 14050 2849 3468 4214 17555 18310 4342 4451 4989 19540 9859 6062
"200733_s_at" 2490 638 17189 20949 5279 4495 692 178 5518 1913 16885 19421 1375 19712
"200734_s_at" 18144 18407 14802 21575 2634 19616 21675 6998 18305 19776 4941 19588 1445 2849
"200735_x_at" 5505 4145 6101 7692 17918 8678 14136 12546 8085 9525 8075 6022 19536 15951
"200736_s_at" 13979 7249 3124 14667 5597 7188 7563 6523 16213 12794 10592 15236 18218 8752
"200737_at" 4280 16868 17117 7007 18266 7727 3205 2897 18145 697 12860 15970 10257 6976
"200738_s_at" 18164 7124 12380 3975 8149 8651 17012 8998 16224 17147 12794 10781 7662 16298
"200739_s_at" 17809 3612 17919 5091 1323 7893 3722 8780 20590 9411 5169 13340 7373 6316
"200740_s_at" 16141 18949 15183 8352 3273 17545 3366 3842 13429 6869 4853 13979 8754 5051
"200741_s_at" 15219 6864 5603 20139 19843 16915 4171 12406 7953 18753 7881 5878 20486 17399
"200742_s_at" 4572 17974 21039 5453 1743 8402 20103 9726 17756 21494 2972 11141 1393 6013
