"inst_315" "inst_984" "inst_1042" "inst_1145" "inst_1204" "inst_1629" "inst_2664" "inst_4428" "inst_5201" "inst_5564" "inst_6164" "inst_6924" "inst_6964"
"200652_at" 12193 14365 18786 4796 14596 3399 4484 1559 3971 9468 16472 15229 14711
"200653_s_at" 13919 17725 345 21625 2336 16052 7118 19914 4940 14767 12613 18044 13322
"200654_at" 13753 16670 1687 17560 3318 4034 6492 5177 6232 8989 11745 3775 3526
"200655_s_at" 10758 15892 1455 18772 13981 16676 4860 17278 16653 14015 15694 18058 13174
"200656_s_at" 13755 18065 17915 18605 17373 15005 8256 19489 17579 17735 18945 19719 16342
"200657_at" 5481 4731 15364 4671 13703 4407 8631 5357 6179 2803 11216 4901 3316
"200658_s_at" 6150 14618 17369 5743 13898 3333 3933 17733 15779 14814 18277 19911 19012
"200659_s_at" 6003 16707 3036 3056 20013 8923 3157 5186 4378 15811 16013 3457 21634
"200660_at" 3906 15397 21487 6597 12102 17102 6542 20290 20107 10834 12224 18028 19466
"200661_at" 5176 4972 15039 19492 13633 5533 19248 15834 18708 17683 14818 20302 20422
"200662_s_at" 15757 19795 19393 17473 17243 2580 8633 7204 1344 19496 15639 17054 16571
"200663_at" 11301 15330 15809 3178 11884 1907 15964 8019 19393 13455 10784 15060 16841
"200664_s_at" 11223 15754 18674 6197 13261 2540 8119 6750 1984 2940 19237 14895 19852
"200665_s_at" 7240 8733 8659 13448 6984 13570 9232 21893 13620 3918 1315 5388 6638
"200666_s_at" 5643 14907 2592 732 18929 18656 7606 3067 7529 16006 13933 2690 14052
"200667_at" 14612 15931 17796 18121 3180 3996 8910 17279 17357 12196 11728 18518 3837
"200668_s_at" 17632 14287 16420 16772 15392 16199 16413 17424 6079 15086 16222 3662 13889
"200669_s_at" 10855 2868 708 6486 19108 3520 8483 16709 7097 12341 19558 17365 18726
"200670_at" 12792 20161 14992 1435 18619 2195 3497 7656 2090 10935 20529 18356 13589
"200671_s_at" 3547 5230 16731 2289 773 8119 15588 22044 3717 21608 8200 7326 869
"200672_x_at" 17870 20808 18673 3515 769 21096 21434 20465 18797 18688 9483 2172 13581
"200673_at" 5802 15268 2632 3820 13686 5665 3193 5867 3232 11640 18439 4740 14528
"200674_s_at" 4081 8347 14485 6299 2620 5559 10701 10098 17694 2912 4289 14331 3445
"200675_at" 12451 18362 21124 21387 17961 18257 16766 16771 2716 18929 20204 2226 16181
"200676_s_at" 3411 19621 21764 2840 12066 18989 1320 6791 5305 16803 12237 14545 19836
"200677_at" 11827 1834 2519 4893 15215 690 17089 7452 4010 11665 12439 2146 14150
"200678_x_at" 11430 1260 20756 17845 16207 16424 18199 5270 6574 17384 14928 15471 20266
"200679_x_at" 12283 4308 18587 5926 16589 15225 3423 20338 19794 13410 13835 19943 17153
"200680_x_at" 4272 20542 15446 1708 14278 4846 7858 10138 17726 4941 9379 1815 2243
"200681_at" 5519 13896 3022 5048 14923 2966 6636 6198 5680 9886 13629 14575 2930
"200682_s_at" 5385 18622 1864 16480 13485 4541 7289 17712 15691 13986 16486 18925 18499
"200683_s_at" 12250 16289 1201 19651 11954 15508 19697 19725 20087 18131 16762 20683 18209
"200684_s_at" 6306 15847 18212 18182 19843 1259 3434 16789 15490 8925 12614 14399 13727
"200685_at" 21716 17072 19720 17915 20271 15050 8788 18912 7632 12869 19060 21632 15001
"200686_s_at" 16627 13963 1021 16651 21051 460 1410 4428 1789 18195 21650 16920 13774
"200687_s_at" 5780 20522 14459 19814 17679 18888 5915 19710 17900 15378 16992 17704 15927
"200688_at" 5150 19131 3052 21490 1344 3960 4961 16010 19868 19118 19161 2542 3594
"200689_x_at" 11128 3105 1502 17660 13170 3360 10739 7018 5841 2340 4325 4563 3173
"200690_at" 14918 17030 21391 1432 16190 19918 2896 16944 15031 14136 10360 21516 14621
"200691_s_at" 2895 15897 16326 3654 16855 4972 7096 17293 6890 16464 15293 16033 14208
"200692_s_at" 3648 16482 21195 3723 13623 5322 6123 20021 5969 18023 20013 20822 19418
"200693_at" 3874 4374 1969 2369 13293 15846 7643 16172 3482 11272 17422 14825 14698
"200694_s_at" 12762 16255 16771 18249 14816 18599 15650 18292 4098 19647 14549 17666 15354
"200695_at" 10750 19031 22156 18737 2937 2053 8850 15751 7415 18344 19079 20580 18567
"200696_s_at" 2421 18320 14638 17916 3704 1883 18774 19853 1538 12298 13600 18836 17704
"200697_at" 20215 1395 15388 4626 16035 16242 6135 17518 17160 9702 15505 9113 1159
"200698_at" 12491 15082 16749 4480 17192 15016 3359 16963 17828 11323 14292 2680 18332
"200699_at" 11666 3144 2406 19430 11838 5043 8305 18793 16265 14265 2003 1065 1645
"200700_s_at" 2445 14249 2477 19284 18247 15117 18895 15107 15013 12147 14409 4968 15052
"200701_at" 16202 18453 20297 16564 14791 16770 17129 8225 16673 15019 14075 19218 13467
"200702_s_at" 3742 17286 17320 6796 14033 2730 2801 14715 15018 11667 20295 16975 13349
"200703_at" 14444 14378 20245 17267 16345 15712 15299 17946 2293 15998 16296 18117 16865
"200704_at" 4749 14584 20086 4788 11953 17111 5907 19931 7107 15877 10548 14593 3284
"200705_s_at" 15358 4779 14378 17441 3869 15364 10575 17181 5917 10585 4148 15624 4104
"200706_s_at" 18113 18560 2748 3873 14811 15102 3481 20602 2242 15567 16470 15276 17890
"200707_at" 14565 19254 21695 22098 3635 17445 4153 7470 19634 19049 11500 17193 13299
"200708_at" 21767 15481 14563 1738 12592 3471 17463 2284 5804 12012 12502 2827 3754
"200709_at" 20936 20273 21361 20824 12797 19459 4981 19680 17194 16511 14049 18370 3643
"200710_at" 15841 17287 19892 20187 16609 19845 18174 7476 19911 19498 14479 14780 21031
"200711_s_at" 17383 19564 17087 20697 15035 17988 18011 15722 16059 18815 16510 16054 19855
"200712_s_at" 17739 19619 17850 1383 19154 3138 1927 6617 15405 12729 21680 21273 20280
"200713_s_at" 11494 3659 14539 5494 16203 1147 16814 5285 5620 10529 12347 2942 13375
"200714_x_at" 5366 18050 14456 20457 3246 3604 15078 5885 3186 15734 10878 3212 14267
"200715_x_at" 12167 14274 1388 4522 3538 1239 6428 2540 4779 2336 9122 2941 2555
"200716_x_at" 4404 4296 1052 17533 3113 15350 10735 10132 15299 11114 4321 19233 13444
"200717_x_at" 12854 8298 1972 17760 12053 18066 10633 10047 10111 4800 4227 14485 3924
"200718_s_at" 18078 16914 1550 4402 15664 15868 15063 5582 4114 9814 12755 5155 3289
"200719_at" 16570 4784 15188 17892 20356 15319 16576 14287 19484 18339 19640 4879 13973
"200720_s_at" 14088 17651 16816 5990 15716 2098 17080 6283 7018 9775 15391 1624 17949
"200721_s_at" 10999 14091 17212 20173 12389 18591 8154 8257 18097 13402 2016 4302 2116
"200722_s_at" 19970 17451 16743 1064 12517 18513 5999 18869 4339 20650 18734 21671 16918
"200723_s_at" 13106 16588 16025 3239 16093 2145 8420 14792 16002 12072 16596 16291 15658
"200724_at" 4763 75 6591 588 21445 122 16940 2261 18602 45 93 10919 752
"200725_x_at" 2606 14792 14739 16458 3596 4835 15558 16192 19538 2732 9386 15887 13132
"200726_at" 16656 20053 2744 2604 15166 16119 5719 4220 4174 14552 15795 19692 18891
"200727_s_at" 17210 17586 1859 1513 2817 20244 4758 1754 16533 10583 22109 21004 20306
"200728_at" 15595 20236 21844 2663 15696 18207 4401 14300 16942 13698 16817 18389 19112
"200729_s_at" 14826 17512 15376 4506 18674 2491 5682 17787 3634 13363 19039 16179 17443
"200730_s_at" 14863 14308 2565 4816 16662 18120 1716 21236 18706 12339 21018 15991 17606
"200731_s_at" 5024 20684 18119 19963 14359 16401 1373 21512 18245 20565 15363 16990 2228
