"inst_2439" "inst_4662"
"201394_s_at" 3639 21327
"201395_at" 4511 16172
"201396_s_at" 3131 12656
"201397_at" 21538 17783
"201398_s_at" 16197 12155
"201399_s_at" 1635 11864
"201400_at" 14763 3967
"201401_s_at" 17054 14571
"201402_at" 10608 1055
"201403_s_at" 15262 10772
"201404_x_at" 2131 10935
"201405_s_at" 17342 11259
"201406_at" 8391 3505
"201407_s_at" 5867 15416
"201408_at" 18740 21257
"201409_s_at" 13935 15185
"201410_at" 5213 17091
"201411_s_at" 2210 16991
"201412_at" 3097 12614
"201413_at" 13460 15313
"201414_s_at" 20405 11945
"201415_at" 20960 12641
"201416_at" 36 10817
"201417_at" 13940 16944
"201418_s_at" 505 20321
"201419_at" 13516 11190
"201420_s_at" 15511 12605
"201421_s_at" 15289 13769
"201422_at" 126 3188
"201423_s_at" 15763 16735
"201424_s_at" 20661 21043
"201425_at" 4993 3405
"201426_s_at" 3225 11879
"201427_s_at" 7229 74
"201428_at" 7729 15731
"201429_s_at" 8313 6284
"201430_s_at" 5502 19199
"201431_s_at" 12478 21930
"201432_at" 19551 13211
"201433_s_at" 19251 11182
"201434_at" 13832 15182
"201435_s_at" 18767 18746
"201436_at" 22035 20363
"201437_s_at" 21176 16276
"201438_at" 9991 21706
"201439_at" 20914 13985
"201440_at" 19144 12875
"201441_at" 16112 3674
"201442_s_at" 1775 4260
"201443_s_at" 15302 14750
"201444_s_at" 3994 15875
"201445_at" 1210 14744
"201446_s_at" 15815 19139
"201447_at" 14123 20717
"201448_at" 19435 21415
"201449_at" 20792 21998
"201450_s_at" 5766 19893
"201451_x_at" 9386 7809
"201452_at" 16913 20667
"201453_x_at" 5821 12615
"201454_s_at" 5700 15078
"201455_s_at" 19159 18779
