"inst_1138" "inst_2323" "inst_2362" "inst_3779" "inst_3860" "inst_3971" "inst_4336"
"200875_s_at" 6259 16197 13190 13164 20138 14047 8490
"200876_s_at" 7132 17697 13928 13494 10557 13382 8174
"200877_at" 5553 9666 13490 13655 19393 14161 15024
"200878_at" 3441 2338 2877 5830 6538 18132 4759
"200879_s_at" 12123 14012 10929 21568 22036 10876 8134
"200880_at" 3526 17745 19196 16576 6226 17726 6863
"200881_s_at" 20212 16688 18729 19459 6743 4354 16706
"200882_s_at" 20369 16239 13488 12183 10777 14392 3222
"200883_at" 5211 6765 13561 16743 3289 13906 8039
"200884_at" 1612 3264 7573 3244 7917 5131 4112
"200885_at" 4268 8507 21824 16876 8365 2888 17688
"200886_s_at" 4222 16357 16675 3586 10060 13663 6247
"200887_s_at" 2903 16742 15150 11631 6894 13522 8006
"200888_s_at" 3856 18803 3749 11623 10671 11128 6029
"200889_s_at" 1402 8161 16917 5692 3709 12604 6334
"200890_s_at" 3818 16291 15317 18415 6072 5785 4962
"200891_s_at" 5279 5558 19186 2150 19721 11597 2215
"200892_s_at" 8132 5353 19368 18062 6763 12174 7881
"200893_at" 7740 17340 15877 15608 10067 16069 6421
"200894_s_at" 3634 3886 20167 17670 6761 13011 20491
"200895_s_at" 5787 8680 17098 4448 19267 12756 18653
"200896_x_at" 7005 16576 12234 11818 19482 11529 6153
"200897_s_at" 21040 7776 5627 3731 8134 16243 8631
"200898_s_at" 20083 3860 19611 17752 4833 5240 20245
"200899_s_at" 2837 16921 18199 13992 11535 11671 4688
"200900_s_at" 1357 9967 15168 19565 2815 3845 9299
"200901_s_at" 1489 2791 12614 18117 11061 18324 16503
"200902_at" 20329 18646 17854 13962 5877 17127 4601
"200903_s_at" 6205 6309 14243 14596 18914 17768 19522
"200904_at" 711 22094 13272 3713 6462 17036 1360
"200905_x_at" 3848 5446 12757 17345 8970 4014 7698
"200906_s_at" 5045 3440 12358 13558 18942 16873 960
"200907_s_at" 20929 6781 9915 19993 5056 18213 8849
"200908_s_at" 2511 20558 21422 930 22177 16802 1569
"200909_s_at" 20431 18556 3902 12495 18134 14991 16758
"200910_at" 5314 7150 13557 4925 7664 5083 17954
"200911_s_at" 2435 5228 16403 18500 10449 18000 7809
"200912_s_at" 20020 8968 14734 15825 7719 13489 8953
"200913_at" 20505 17922 17874 3065 11161 3249 8755
"200914_x_at" 7445 20184 17070 3951 1983 14196 4531
"200915_x_at" 7415 17751 15362 5331 9993 14167 5993
"200916_at" 2177 7185 12501 12230 4453 11945 15924
"200917_s_at" 21878 280 1656 20184 4534 19029 17524
"200918_s_at" 340 8096 3273 13441 11917 12250 9155
"200919_at" 5531 10230 2020 17686 6377 2881 1955
"200920_s_at" 4124 8729 2319 15054 5771 12388 8354
"200921_s_at" 5634 4120 15633 12896 9953 4866 8122
"200922_at" 502 8839 12608 12952 4054 5715 21245
"200923_at" 8069 2759 8765 20043 1344 2794 18144
"200924_s_at" 777 4988 1086 14929 11609 12395 19795
"200925_at" 20941 17401 15135 8012 18291 5084 17748
"200926_at" 20073 12320 6589 8038 14182 7498 11069
"200927_s_at" 5884 17428 17015 15570 10122 11709 18733
"200928_s_at" 9128 20748 353 19430 1445 3785 1046
"200929_at" 6218 5574 2607 17749 6814 5743 6317
"200930_s_at" 8674 11454 3812 14147 4923 2928 5632
"200931_s_at" 3185 9583 16526 6037 8941 18665 16565
"200932_s_at" 1388 5319 2377 16320 18395 18295 4859
"200933_x_at" 20665 12292 13001 8009 14144 7452 11030
"200934_at" 7984 19397 12839 4337 9084 13880 4349
"200935_at" 20840 21119 16621 3123 19428 2618 21724
"200936_at" 19986 12186 16697 8014 14154 7462 11038
"200937_s_at" 20184 17802 13309 4049 20934 17125 15450
"200938_s_at" 10707 16894 8927 8219 15188 10707 9921
"200939_s_at" 11887 12937 5142 21433 15370 4075 6071
"200940_s_at" 820 4497 2532 13456 21248 12805 19920
"200941_at" 2957 9938 12594 16628 10796 19303 3321
"200942_s_at" 3206 4813 13377 16925 10176 11109 5559
"200943_at" 4430 19102 16713 5419 10987 2690 3749
