"inst_313" "inst_608"
"201150_s_at" 1122 17192
"201151_s_at" 12274 14432
"201152_s_at" 5067 5442
"201153_s_at" 19682 15397
"201154_x_at" 3049 3692
"201155_s_at" 2917 16479
"201156_s_at" 1461 12717
"201157_s_at" 4715 13892
"201158_at" 1089 1936
"201159_s_at" 746 16262
"201160_s_at" 19818 5487
"201161_s_at" 10819 2592
"201162_at" 8416 9006
"201163_s_at" 7178 10554
"201164_s_at" 2416 3941
"201165_s_at" 13674 6258
"201166_s_at" 12544 17793
"201167_x_at" 445 3786
"201168_x_at" 4321 1176
"201169_s_at" 17515 18599
"201170_s_at" 2765 12818
"201171_at" 19862 9356
"201172_x_at" 11520 15094
"201173_x_at" 18322 14184
"201174_s_at" 14981 13821
"201175_at" 4906 13843
"201176_s_at" 18541 17324
"201177_s_at" 13278 14264
"201178_at" 4619 13420
"201179_s_at" 14207 15446
"201180_s_at" 13130 14413
"201181_at" 17615 2939
"201182_s_at" 14742 3873
"201183_s_at" 18013 17854
"201184_s_at" 15843 18734
"201185_at" 19294 6271
"201186_at" 16933 18315
"201187_s_at" 6145 14645
"201188_s_at" 5536 1288
"201189_s_at" 2325 15672
"201190_s_at" 11734 17170
"201191_at" 15800 18591
"201192_s_at" 16581 5886
"201193_at" 17060 18062
"201194_at" 12616 13439
"201195_s_at" 658 2322
"201196_s_at" 4246 4648
"201197_at" 6193 19031
"201198_s_at" 4635 15942
"201199_s_at" 18432 17274
"201200_at" 14458 17454
"201201_at" 16315 4846
"201202_at" 3294 5213
"201203_s_at" 8890 19339
"201204_s_at" 13085 20925
"201205_at" 4519 1894
"201206_s_at" 1694 21335
"201207_at" 14489 21054
"201208_s_at" 3838 5022
"201209_at" 5426 17216
"201210_at" 13060 12503
"201211_s_at" 19244 12585
"201212_at" 19804 18330
"201213_at" 12184 21730
"201214_s_at" 11051 13384
"201215_at" 15377 12772
"201216_at" 14029 17081
"201217_x_at" 11012 16983
"201218_at" 19180 12838
"201219_at" 12248 18318
"201220_x_at" 12857 12814
"201221_s_at" 3652 16737
"201222_s_at" 1449 4225
"201223_s_at" 903 5624
"201224_s_at" 1777 2415
"201225_s_at" 5868 3553
"201226_at" 19455 13881
"201227_s_at" 19037 5816
"201228_s_at" 22222 14233
"201229_s_at" 11609 18761
"201230_s_at" 19240 18118
"201231_s_at" 14673 13476
"201232_s_at" 2657 16580
"201233_at" 18601 1168
"201234_at" 4093 4753
"201235_s_at" 3319 17344
"201236_s_at" 14773 21498
"201237_at" 15395 15370
"201238_s_at" 11334 13711
"201239_s_at" 17902 13544
"201240_s_at" 6066 4752
"201241_at" 13860 5174
"201242_s_at" 16708 5235
"201243_s_at" 18402 16061
"201244_s_at" 14631 12916
"201245_s_at" 5156 13127
"201246_s_at" 3281 1004
"201247_at" 20489 2141
"201248_s_at" 5266 3618
"201249_at" 19295 21758
"201250_s_at" 19469 17961
"201251_at" 3167 12041
"201252_at" 2804 4617
"201253_s_at" 1697 16063
"201254_x_at" 5422 12352
"201255_x_at" 2824 17340
"201256_at" 13481 4686
"201257_x_at" 2486 2784
"201258_at" 16346 18631
"201259_s_at" 4266 3654
"201260_s_at" 14423 14188
"201261_x_at" 17273 5375
"201262_s_at" 10388 8107
"201263_at" 4522 5066
"201264_at" 13462 14702
"201265_at" 1881 5232
"201266_at" 18936 14247
"201267_s_at" 5096 4141
"201268_at" 11703 12794
"201269_s_at" 611 13001
"201270_x_at" 4182 18595
"201271_s_at" 11224 13207
"201272_at" 18474 19609
"201273_s_at" 12533 12878
"201274_at" 6222 2308
"201275_at" 16923 15052
"201276_at" 1599 16254
"201277_s_at" 5608 12821
"201278_at" 19341 1612
"201279_s_at" 21868 1381
"201280_s_at" 1977 8510
"201281_at" 18433 14397
"201282_at" 11689 4083
"201283_s_at" 6358 11898
"201284_s_at" 11436 15645
"201285_at" 10690 15200
"201286_at" 12060 12479
"201287_s_at" 15946 3849
"201288_at" 817 20192
"201289_at" 972 20827
"201290_at" 5605 6261
"201291_s_at" 5473 595
"201292_at" 13897 17327
"201293_x_at" 12833 5663
"201294_s_at" 11907 1749
"201295_s_at" 610 10613
"201296_s_at" 2250 3696
"201297_s_at" 21210 13721
"201298_s_at" 11035 14462
"201299_s_at" 18319 4267
"201300_s_at" 15274 13092
"201301_s_at" 15521 14810
"201302_at" 18934 13465
"201303_at" 12203 18701
"201304_at" 18035 5456
"201305_x_at" 2012 1267
"201306_s_at" 5375 12918
"201307_at" 13593 4095
"201308_s_at" 5849 2875
"201309_x_at" 5819 21431
"201310_s_at" 18579 20866
"201311_s_at" 13561 12522
"201312_s_at" 13025 3484
"201313_at" 7198 8638
"201314_at" 14191 2581
"201315_x_at" 14775 12067
"201316_at" 20820 20617
"201317_s_at" 11904 14270
"201318_s_at" 15865 12656
"201319_at" 6221 1036
