"inst_578" "inst_624"
"201272_at" 3901 9125
"201273_s_at" 20841 17499
"201274_at" 19247 14949
"201275_at" 3275 15709
"201276_at" 10424 19857
"201277_s_at" 16330 19342
"201278_at" 16878 4230
"201279_s_at" 21612 8952
"201280_s_at" 19507 8181
"201281_at" 15418 16995
"201282_at" 16071 1779
"201283_s_at" 13295 13640
"201284_s_at" 15534 15759
"201285_at" 20819 21384
"201286_at" 20895 20410
"201287_s_at" 15632 19468
"201288_at" 5457 2969
"201289_at" 18550 5415
"201290_at" 4141 14710
"201291_s_at" 16387 19683
"201292_at" 16065 19126
"201293_x_at" 17004 15036
"201294_s_at" 11948 5650
"201295_s_at" 13139 3084
"201296_s_at" 1157 1344
"201297_s_at" 7010 11926
"201298_s_at" 17888 18650
"201299_s_at" 20987 6497
"201300_s_at" 17026 20302
"201301_s_at" 15613 16576
"201302_at" 20445 17269
"201303_at" 3790 17447
"201304_at" 17579 14940
"201305_x_at" 3436 18572
"201306_s_at" 3483 1366
"201307_at" 22161 20439
"201308_s_at" 11633 9452
"201309_x_at" 1591 7154
"201310_s_at" 17592 18163
"201311_s_at" 2481 438
"201312_s_at" 21655 16520
"201313_at" 20058 17057
"201314_at" 21186 735
"201315_x_at" 20258 1766
"201316_at" 15817 1104
"201317_s_at" 19398 19942
"201318_s_at" 21185 19019
"201319_at" 21470 21204
"201320_at" 15526 53
"201321_s_at" 183 19464
"201322_at" 15413 18271
"201323_at" 19976 15582
"201324_at" 21092 7196
"201325_s_at" 18628 7810
"201326_at" 18066 14915
"201327_s_at" 16308 16945
"201328_at" 18522 10640
"201329_s_at" 1612 5025
"201330_at" 1782 19585
"201331_s_at" 103 5702
"201332_s_at" 13735 8929
"201333_s_at" 17741 21485
"201334_s_at" 4082 21833
"201335_s_at" 13284 3125
"201336_at" 1917 2699
"201337_s_at" 16907 20656
"201338_x_at" 19416 16362
"201339_s_at" 20410 2472
"201340_s_at" 7633 14760
"201341_at" 2507 19943
"201342_at" 20494 1347
"201343_at" 15482 19251
"201344_at" 896 6432
"201345_s_at" 3141 16180
"201346_at" 3941 19133
"201347_x_at" 16144 1943
"201348_at" 14984 20798
"201349_at" 4337 1676
"201350_at" 1667 18207
"201351_s_at" 19754 18756
"201352_at" 20979 21182
"201353_s_at" 19408 870
"201354_s_at" 11469 1169
"201355_s_at" 15622 20565
"201356_at" 16170 18591
"201357_s_at" 1254 19786
"201358_s_at" 20002 17204
"201359_at" 19054 17486
"201360_at" 21640 21413
"201361_at" 18151 18410
"201362_at" 14281 816
"201363_s_at" 13046 1535
"201364_s_at" 1709 18231
"201365_at" 17522 19907
"201366_at" 20715 1975
"201367_s_at" 5910 14481
"201368_at" 2074 18483
"201369_s_at" 3182 1788
"201370_s_at" 11234 15640
"201371_s_at" 17242 18850
"201372_s_at" 13926 9042
"201373_at" 4004 397
"201374_x_at" 8700 6840
"201375_s_at" 17689 16929
"201376_s_at" 3146 16638
"201377_at" 3479 14205
"201378_s_at" 16302 21001
"201379_s_at" 16937 15525
"201380_at" 49 20804
"201381_x_at" 20618 20012
"201382_at" 21688 11749
"201383_s_at" 15848 20081
"201384_s_at" 2073 21320
"201385_at" 4232 21075
"201386_s_at" 19292 1705
"201387_s_at" 13397 1954
"201388_at" 2143 16836
"201389_at" 19803 19376
"201390_s_at" 16234 15889
"201391_at" 3482 1113
"201392_s_at" 16981 21843
"201393_s_at" 21627 21678
"201394_s_at" 2443 16095
"201395_at" 18270 2164
"201396_s_at" 13127 1326
"201397_at" 18233 19025
"201398_s_at" 15540 1631
"201399_s_at" 15243 18382
"201400_at" 19001 15337
"201401_s_at" 853 21878
"201402_at" 5623 7709
"201403_s_at" 16481 16228
"201404_x_at" 19731 1980
"201405_s_at" 19441 17006
"201406_at" 18897 2454
"201407_s_at" 22042 21669
"201408_at" 2237 16295
"201409_s_at" 18807 15349
"201410_at" 20552 20400
"201411_s_at" 19024 22040
"201412_at" 17462 18242
"201413_at" 4627 18284
"201414_s_at" 17168 772
"201415_at" 16130 18098
"201416_at" 18336 20089
"201417_at" 17313 16415
"201418_s_at" 832 18218
"201419_at" 17601 1576
"201420_s_at" 17125 17618
"201421_s_at" 22273 19462
"201422_at" 17386 2703
"201423_s_at" 4404 2092
"201424_s_at" 11628 5375
"201425_at" 6994 13860
"201426_s_at" 2979 2766
"201427_s_at" 14165 13700
"201428_at" 17170 19103
"201429_s_at" 4160 2483
"201430_s_at" 8088 8046
"201431_s_at" 2525 13439
"201432_at" 17325 2686
"201433_s_at" 4042 16070
"201434_at" 20733 2167
"201435_s_at" 21752 14280
"201436_at" 12655 4985
"201437_s_at" 21437 21281
"201438_at" 15256 8028
"201439_at" 515 18972
"201440_at" 18575 15598
"201441_at" 4291 1623
"201442_s_at" 8738 11971
"201443_s_at" 21635 15403
"201444_s_at" 16296 20119
"201445_at" 19399 11269
"201446_s_at" 2602 1925
"201447_at" 551 15555
"201448_at" 961 2714
"201449_at" 17660 14312
"201450_s_at" 20584 1639
"201451_x_at" 7527 5559
"201452_at" 614 14131
"201453_x_at" 4611 15622
"201454_s_at" 19476 16112
"201455_s_at" 17267 17299
