"inst_490" "inst_494" "inst_1017" "inst_1075" "inst_1178" "inst_1237" "inst_1577" "inst_1662" "inst_2697" "inst_3194" "inst_4461" "inst_5234" "inst_5597" "inst_5880" "inst_6196" "inst_6954" "inst_6996" "inst_7234"
"200675_at" 18481 19691 17213 17870 21785 8116 2818 19123 9971 16598 17341 8033 18752 14664 16852 19686 10336 7312
"200676_s_at" 19434 19810 21884 21959 16654 3156 20140 16127 21799 19823 20561 20881 19691 22126 3171 22193 10467 21594
"200677_at" 17350 15843 5418 15383 19180 7864 689 2407 9467 16475 13869 6961 6874 15246 14449 16987 8961 5938
"200678_x_at" 5835 18998 1361 2328 6450 6779 4365 2029 17262 15046 12363 7577 2526 3653 4841 1377 1899 2629
"200679_x_at" 13811 15877 17935 18085 19387 17578 18777 15016 8750 15259 4011 20139 6209 17227 15912 16587 19576 18286
"200680_x_at" 6440 7209 17220 15508 19056 18485 3197 12857 9989 16135 11312 18866 8930 15769 14171 16637 19890 18331
"200681_at" 13924 5555 17834 18363 6122 18323 18368 17263 17268 9139 12517 8284 14641 16231 16383 17492 10470 7888
"200682_s_at" 14771 16834 17895 19244 16924 7881 18551 18546 7073 5927 13339 19499 12953 15653 16057 19930 10231 5555
"200683_s_at" 19338 18712 20753 18103 19302 15949 16049 21651 17757 2902 17065 20761 16891 18112 17752 21707 7267 7425
"200684_s_at" 16160 21196 19162 22022 19173 16344 27 18439 20881 4873 21530 20470 20830 19580 17712 20900 10422 6123
"200685_at" 13389 3003 2779 18081 19205 6574 20159 13494 10022 9512 17710 6134 20378 5773 16560 22141 4583 4995
"200686_s_at" 5983 7221 2507 16393 7465 20863 17214 18803 5164 4058 19129 1329 14376 20390 19455 3742 5172 15936
"200687_s_at" 18165 18635 20509 16040 18374 7115 3461 18649 6486 16123 19375 8673 17607 20623 14423 16909 9799 7605
