"inst_2927" "inst_4168"
"201137_s_at" 5772 5390
"201138_s_at" 14650 10197
"201139_s_at" 17204 14229
"201140_s_at" 11143 18999
"201141_at" 14592 11444
"201142_at" 20695 21406
"201143_s_at" 15257 18367
"201144_s_at" 19873 9958
"201145_at" 14108 10139
"201146_at" 14685 18528
"201147_s_at" 4404 1479
"201148_s_at" 1550 15329
"201149_s_at" 4776 20721
"201150_s_at" 5622 8706
"201151_s_at" 18911 20447
"201152_s_at" 15261 21270
"201153_s_at" 16057 21129
"201154_x_at" 4545 5640
"201155_s_at" 16467 19457
"201156_s_at" 12878 15284
"201157_s_at" 15973 13285
"201158_at" 16844 19579
"201159_s_at" 11647 21878
"201160_s_at" 18428 12967
"201161_s_at" 17926 14960
"201162_at" 13319 4950
"201163_s_at" 21268 3680
"201164_s_at" 15492 14100
"201165_s_at" 13394 18208
"201166_s_at" 17147 18383
"201167_x_at" 13786 3826
"201168_x_at" 12349 13991
"201169_s_at" 22037 17752
"201170_s_at" 22271 15176
"201171_at" 10946 10014
"201172_x_at" 14623 10177
"201173_x_at" 378 13732
"201174_s_at" 14920 14230
"201175_at" 15834 12272
"201176_s_at" 16551 16866
"201177_s_at" 19954 11632
"201178_at" 19448 16707
"201179_s_at" 19925 16390
"201180_s_at" 20195 14315
"201181_at" 20979 18084
"201182_s_at" 13170 11619
"201183_s_at" 16139 15844
"201184_s_at" 18323 17701
"201185_at" 5971 11843
"201186_at" 15680 3771
"201187_s_at" 4897 1187
"201188_s_at" 7448 19889
"201189_s_at" 9154 13184
"201190_s_at" 15438 19204
"201191_at" 17857 20119
"201192_s_at" 13230 9866
"201193_at" 11479 15968
"201194_at" 1076 9461
"201195_s_at" 15323 16727
"201196_s_at" 21255 17912
"201197_at" 22055 19345
"201198_s_at" 13811 18666
"201199_s_at" 16925 19192
"201200_at" 18541 13887
"201201_at" 15270 10479
"201202_at" 20930 15773
"201203_s_at" 5234 9967
"201204_s_at" 10569 21745
"201205_at" 13721 20191
"201206_s_at" 12355 11386
"201207_at" 21318 20559
"201208_s_at" 1089 9526
"201209_at" 19432 13118
"201210_at" 14608 19603
"201211_s_at" 16533 20211
"201212_at" 3884 11913
"201213_at" 13995 19530
"201214_s_at" 19546 12766
"201215_at" 10070 18535
"201216_at" 13395 10115
"201217_x_at" 9955 3878
"201218_at" 22208 16294
"201219_at" 20007 13909
"201220_x_at" 19277 16734
"201221_s_at" 16802 10610
"201222_s_at" 17520 9964
"201223_s_at" 19475 17991
"201224_s_at" 13785 9051
"201225_s_at" 16824 14303
"201226_at" 14525 15868
"201227_s_at" 11311 3259
"201228_s_at" 13614 16543
"201229_s_at" 14031 14302
"201230_s_at" 21454 16630
"201231_s_at" 13158 11696
"201232_s_at" 16219 12196
"201233_at" 1201 9998
"201234_at" 15941 15050
"201235_s_at" 951 13637
"201236_s_at" 19837 21642
"201237_at" 19444 17321
"201238_s_at" 18838 17468
"201239_s_at" 17338 12399
"201240_s_at" 17296 12553
"201241_at" 19988 15303
"201242_s_at" 121 14402
"201243_s_at" 10514 20922
"201244_s_at" 16792 15959
"201245_s_at" 13665 12642
"201246_s_at" 5144 11532
"201247_at" 21153 21707
"201248_s_at" 11099 18754
"201249_at" 6626 3690
"201250_s_at" 21744 15196
"201251_at" 20193 15192
"201252_at" 11148 13342
"201253_s_at" 16606 11555
"201254_x_at" 9812 5763
"201255_x_at" 14284 15279
"201256_at" 19740 14435
"201257_x_at" 4426 5558
"201258_at" 10136 8978
"201259_s_at" 21693 15590
"201260_s_at" 21599 18082
"201261_x_at" 1590 284
"201262_s_at" 7328 5875
"201263_at" 12465 12681
"201264_at" 13782 10038
"201265_at" 9096 9778
"201266_at" 12658 20356
"201267_s_at" 15386 12903
"201268_at" 11865 3253
"201269_s_at" 4262 933
"201270_x_at" 16336 15182
"201271_s_at" 17127 3030
"201272_at" 14860 1099
"201273_s_at" 14340 10580
"201274_at" 15805 11174
"201275_at" 13791 13241
"201276_at" 18948 20926
"201277_s_at" 19780 11105
"201278_at" 5266 8488
"201279_s_at" 11980 4987
"201280_s_at" 10253 5790
"201281_at" 10597 9041
"201282_at" 13976 16419
"201283_s_at" 11019 1005
"201284_s_at" 20346 14773
"201285_at" 19413 19950
"201286_at" 8135 18257
"201287_s_at" 3972 18657
"201288_at" 13289 9741
"201289_at" 674 2294
"201290_at" 14217 9851
"201291_s_at" 13436 15216
"201292_at" 18704 20759
"201293_x_at" 10789 5691
"201294_s_at" 15516 19970
"201295_s_at" 22236 20624
"201296_s_at" 14767 18801
"201297_s_at" 15770 17511
"201298_s_at" 18575 14694
"201299_s_at" 19623 18299
"201300_s_at" 11051 17271
"201301_s_at" 16015 11737
"201302_at" 21426 18000
"201303_at" 15830 12091
"201304_at" 19207 13782
"201305_x_at" 11815 11716
"201306_s_at" 15291 9862
"201307_at" 20580 19882
"201308_s_at" 20148 16756
"201309_x_at" 21512 2640
"201310_s_at" 21986 18292
"201311_s_at" 17668 16758
"201312_s_at" 19596 19971
"201313_at" 21614 17036
"201314_at" 19551 9120
"201315_x_at" 18094 10549
"201316_at" 20314 15136
"201317_s_at" 16797 11062
"201318_s_at" 12199 3717
"201319_at" 15936 18774
"201320_at" 15908 12977
"201321_s_at" 14864 19433
"201322_at" 17570 11498
"201323_at" 18896 10551
"201324_at" 2085 3203
"201325_s_at" 547 8194
"201326_at" 11018 11673
"201327_s_at" 10798 12855
"201328_at" 16003 389
"201329_s_at" 10114 11479
"201330_at" 22136 16522
"201331_s_at" 14403 18166
"201332_s_at" 14427 6325
"201333_s_at" 6679 19084
"201334_s_at" 13285 21417
"201335_s_at" 8392 19596
"201336_at" 19566 15822
"201337_s_at" 20608 17474
"201338_x_at" 18767 9933
"201339_s_at" 18923 13746
"201340_s_at" 10875 17765
"201341_at" 18501 13623
"201342_at" 14413 12250
"201343_at" 19009 18674
"201344_at" 19775 16786
"201345_s_at" 16727 10365
"201346_at" 19940 18416
"201347_x_at" 15666 11986
"201348_at" 1965 12936
"201349_at" 16025 14457
"201350_at" 21411 11653
"201351_s_at" 15978 15090
"201352_at" 19603 16845
"201353_s_at" 10660 18843
"201354_s_at" 18851 20059
"201355_s_at" 10763 11894
"201356_at" 14908 18163
"201357_s_at" 17328 9420
"201358_s_at" 13720 16222
"201359_at" 14028 18700
"201360_at" 21603 11436
"201361_at" 18617 15854
"201362_at" 20433 18018
"201363_s_at" 22258 20902
"201364_s_at" 17362 15205
"201365_at" 11506 19725
"201366_at" 18958 18440
"201367_s_at" 489 21372
"201368_at" 21381 21435
"201369_s_at" 566 2369
"201370_s_at" 18888 20223
"201371_s_at" 18149 17088
"201372_s_at" 12673 10027
"201373_at" 19879 15825
"201374_x_at" 9157 7401
"201375_s_at" 14215 17707
"201376_s_at" 19376 17162
"201377_at" 15604 12739
"201378_s_at" 16290 18771
"201379_s_at" 13479 17224
"201380_at" 20444 10510
"201381_x_at" 511 9252
"201382_at" 13559 3106
"201383_s_at" 15969 20706
"201384_s_at" 19285 19960
"201385_at" 18656 13723
"201386_s_at" 17312 16138
"201387_s_at" 5925 20019
"201388_at" 11659 10960
"201389_at" 21891 14434
"201390_s_at" 14832 10272
"201391_at" 19271 13083
"201392_s_at" 14059 17530
"201393_s_at" 18098 21881
"201394_s_at" 16162 11861
"201395_at" 14242 17644
"201396_s_at" 20774 12513
"201397_at" 19109 13698
"201398_s_at" 20194 21107
"201399_s_at" 18014 17385
"201400_at" 17510 12684
"201401_s_at" 20432 15907
"201402_at" 5191 5377
"201403_s_at" 17236 15548
"201404_x_at" 16618 22097
"201405_s_at" 16642 10740
"201406_at" 9740 5646
"201407_s_at" 19904 15100
"201408_at" 21330 20976
"201409_s_at" 20123 19131
"201410_at" 16506 19735
"201411_s_at" 18431 21751
"201412_at" 16046 14897
"201413_at" 15960 15788
"201414_s_at" 17613 13770
"201415_at" 13296 17415
"201416_at" 115 3228
"201417_at" 11163 20048
"201418_s_at" 543 20087
"201419_at" 18611 19488
"201420_s_at" 19701 15556
"201421_s_at" 20049 14624
"201422_at" 1808 12047
"201423_s_at" 18635 17610
"201424_s_at" 21646 21395
"201425_at" 12211 9438
"201426_s_at" 15026 13811
"201427_s_at" 2304 3385
"201428_at" 5731 19452
"201429_s_at" 4499 5605
"201430_s_at" 5280 7186
"201431_s_at" 9445 6667
"201432_at" 20119 18719
"201433_s_at" 19236 14464
"201434_at" 16401 13601
"201435_s_at" 18506 16171
"201436_at" 19693 13454
"201437_s_at" 18519 13384
"201438_at" 1595 8683
"201439_at" 15838 17510
"201440_at" 16211 18243
"201441_at" 13462 3057
"201442_s_at" 10422 142
"201443_s_at" 15405 13956
"201444_s_at" 16581 17175
"201445_at" 10126 67
"201446_s_at" 19950 16463
"201447_at" 22205 21127
"201448_at" 21742 20990
"201449_at" 21176 12582
"201450_s_at" 14793 17783
"201451_x_at" 6260 11340
"201452_at" 16346 1638
"201453_x_at" 15047 12756
